Filename,Name,FullName,Neuroticism,Extraversion,Agreeableness,Conscientiousness,Openness,job,Cluster_KM_3,Cluster_HA,Cluster_HA_6,Cluster_DBSCAN,Cluster_GMM,Cluster_SC
20_지혜님.jpg,최지혜,Choi Ji-hye,0.001,0.014,0.155,0.0,0.221,student,2,3,5,-1,1,0
06_동근3.jpg,박동근3,Park Dong-keun 3,0.011,0.0,0.85,0.001,0.015,student,0,2,4,0,0,1
05_동근2.jpg,박동근2,Park Dong-keun 2,0.021,0.001,0.834,0.0,0.008,student,0,2,4,0,0,1
04_동근1.jpg,박동근1,Park Dong-keun 1,0.026,0.0,0.861,0.0,0.001,student,0,2,4,0,0,1
18_주환님.jpg,신주환,Shin Joo-hwan,0.2,0.005,0.17,0.005,0.001,student,0,3,6,-1,0,3
24_홍석님.jpg,박홍석,Park Hong-seok,0.003,0.025,0.483,0.0,0.0,student,0,2,4,0,0,2
22_지훈님.jpg,유지훈,Yoo Ji-hoon,0.0,0.187,0.071,0.0,0.0,student,1,1,1,-1,0,0
23_현범님.jpg,황현범,Hwang Hyun-beom,0.0,0.22,0.784,0.03,0.001,student,1,1,2,-1,2,0
21_지환님.jpg,이지환,Lee Ji-hwan,0.006,0.01,0.828,0.032,0.008,student,0,1,2,-1,2,0
10_병현님1.jpg,김병현1,Kim Byung-hyun 1,0.0,0.002,0.159,0.008,0.002,student,0,2,3,-1,3,0
11_병현님2.jpg,김병현2,Kim Byung-hyun 2,0.0,0.0,0.596,0.013,0.003,student,0,2,4,-1,3,0
19_지영님.jpg,박지영,Park Ji-young,0.0,0.001,0.527,0.001,0.01,student,0,2,4,0,3,2
12_봉석님.jpg,최봉석,Choi Bong-seok,0.0,0.008,0.996,0.0,0.002,student,0,2,4,0,3,1
13_요한님.jpg,최요한,Choi Yo-han,0.0,0.0,0.65,0.0,0.0,student,0,2,4,0,3,2
07_류근관교수님.png,류근관,Ryu Geun-kwan,0.0,0.023,0.995,0.0,0.001,professor,0,2,4,0,0,1
02_김영식교수님.png,김영식,Kim Young-sik,0.0,0.0,0.995,0.003,0.058,professor,0,2,4,-1,3,1
09_박현우교수님.png,박현우,Park Hyun-woo,0.002,0.0,0.726,0.0,0.002,professor,0,2,4,0,3,2
15_이재욱교수님.png,이재욱,Lee Jae-wook,0.001,0.0,0.194,0.0,0.001,professor,0,2,3,0,3,0
17_장우진교수님.png,장우진,Jang Woo-jin,0.0,0.009,0.469,0.0,0.0,professor,0,2,4,0,3,3
14_이상원교수님.png,이상원,Lee Sang-won,0.0,0.004,0.689,0.0,0.008,professor,0,2,4,0,3,2
01_김명환교수님.png,김명환,Kim Myung-hwan,0.004,0.0,0.082,0.0,0.0,professor,0,2,3,0,3,0
03_김형신교수님.png,김형신,Kim Hyeong-shin,0.001,0.0,0.807,0.002,0.0,professor,0,2,4,0,3,1
08_민조홍교수님.png,민조홍,Min Jo-hong,0.002,0.006,0.959,0.0,0.001,professor,0,2,4,0,3,1
16_이훈희교수님.png,이훈희,Lee Hoon-hee,0.003,0.0,0.606,0.0,0.002,professor,0,2,4,0,3,2
48_뉴진스민지(아이돌).png,민지,Min Ji,0.005,0.01,0.166,0.0,0.001,idol(singer),0,2,3,0,3,0
49_뉴진스하니(아이돌).png,하니,Hani,0.0,0.348,0.011,0.0,0.002,idol(singer),1,1,1,-1,0,0
50_뉴진스해린(아이돌).png,해린,Hae-rin,0.0,0.0,0.52,0.0,0.01,idol(singer),0,2,4,0,3,2
84_에스파카리나(아이돌).png,카리나,Karina,0.003,0.008,0.011,0.0,0.005,idol(singer),0,2,3,0,3,0
82_에스파윈터(아이돌).png,윈터,Winter,0.0,0.0,0.239,0.0,0.0,idol(singer),0,2,3,0,3,0
81_에스파닝닝(아이돌).png,닝닝,Ningning,0.0,0.0,0.003,0.0,0.009,idol(singer),0,2,3,0,3,0
83_에스파지젤(아이돌).png,지젤,Giselle,0.004,0.001,0.655,0.0,0.005,idol(singer),0,2,4,0,3,2
47_뉴진스다니엘(아이돌).png,다니엘,Daniel,0.001,0.0,0.578,0.0,0.055,idol(singer),0,2,4,-1,3,2
51_뉴진스혜인(아이돌).png,혜인,Hye-in,0.001,0.007,0.018,0.0,0.031,idol(singer),0,2,3,-1,3,0
32_BTS정국(아이돌).png,정국,Jeongkook,0.0,0.027,0.52,0.0,0.0,idol(singer),0,2,4,0,0,2
28_BTS 뷔(아이돌).png,뷔,V,0.017,0.005,0.231,0.0,0.018,idol(singer),0,2,3,0,0,0
31_BTS 진(아이돌).png,진,Jin,0.0,0.001,0.147,0.0,0.0,idol(singer),0,2,3,0,3,0
30_BTS 지민(아이돌).png,지민,Jimin,0.001,0.005,0.698,0.0,0.0,idol(singer),0,2,4,0,3,2
27_BTS RM(아이돌).png,RM,RM,0.001,0.0,0.216,0.0,0.003,idol(singer),0,2,3,0,3,0
29_BTS 슈가(아이돌).png,슈가,Suga,0.001,0.003,0.572,0.0,0.0,idol(singer),0,2,4,0,3,2
65_사격김예지(체육).png,김예지,Kim Ye-ji,0.0,0.001,0.296,0.0,0.014,athlete,0,2,3,0,3,0
121_탁구신유빈(체육).png,신유빈,Shin Yu-bin,0.009,0.16,0.037,0.001,0.002,athlete,1,1,1,-1,0,0
